City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
231,Kavaratti,IN,10.5669,72.642,81.52,72,97,2.37,overcast clouds,2021-12-04 08:27:06
232,Knysna,ZA,-34.0363,23.0471,68.38,66,100,8.77,overcast clouds,2021-12-04 08:27:06
233,Presidente Epitacio,BR,-21.7633,-52.1156,71.49,68,1,11.39,clear sky,2021-12-04 08:27:06
234,Sokoni,TZ,-6.4333,39.55,79.59,78,65,5.82,light rain,2021-12-04 08:27:07
235,Bonn,DE,50.7333,7.1,40.86,89,75,3.0,broken clouds,2021-12-04 08:22:32
236,Oriximina,BR,-1.7656,-55.8661,72.64,97,94,1.63,overcast clouds,2021-12-04 08:27:07
237,Castro,BR,-24.7911,-50.0119,55.24,96,71,6.24,broken clouds,2021-12-04 08:27:07
238,Ambilobe,MG,-13.2,49.05,96.62,31,19,10.56,few clouds,2021-12-04 08:27:08
239,Elizabeth City,US,36.2946,-76.2511,57.22,93,1,4.61,clear sky,2021-12-04 08:27:08
240,Kondinskoye,RU,59.6481,67.41,16.11,95,41,5.93,scattered clouds,2021-12-04 08:27:09
241,Batsfjord,NO,70.6345,29.7185,17.64,82,70,11.61,broken clouds,2021-12-04 08:27:09
242,Zubtsov,RU,56.1753,34.5894,22.95,86,100,13.94,overcast clouds,2021-12-04 08:27:09
243,Veinticinco De Mayo,AR,-35.4323,-60.1727,61.05,96,100,5.99,overcast clouds,2021-12-04 08:27:10
244,Imeni Morozova,RU,59.9757,31.0376,21.24,93,100,7.58,light snow,2021-12-04 08:27:10
245,Port-Gentil,GA,-0.7193,8.7815,84.16,74,20,9.22,few clouds,2021-12-04 08:27:10
246,Rorvik,NO,64.8621,11.2373,26.58,67,4,42.68,clear sky,2021-12-04 08:27:10
247,Lerwick,GB,60.1545,-1.1494,37.4,78,65,10.76,broken clouds,2021-12-04 08:27:11
248,Antoniny,UA,49.8097,26.8771,26.51,79,51,7.11,broken clouds,2021-12-04 08:27:11
249,Baft,IR,29.234,56.6057,48.67,36,0,6.04,clear sky,2021-12-04 08:27:11
250,Taltal,CL,-25.4,-70.4833,61.14,78,33,1.25,scattered clouds,2021-12-04 08:24:20
251,Rocha,UY,-34.4833,-54.3333,55.24,93,100,3.4,overcast clouds,2021-12-04 08:27:12
252,Santa Lucia,ES,27.9117,-15.5407,56.77,72,20,6.91,few clouds,2021-12-04 08:27:12
253,Gat,IL,31.61,34.7642,71.78,39,100,2.21,overcast clouds,2021-12-04 08:27:13
